Ref	Priority	Severity
98178	Medium	L1
98179	Low	L2
98180	Medium	L2
98181	Medium	L5
98182	High	L2
98183	Low	L2
98184	Medium	L1
98185	Low	L5
98186	Low	L1
98187	Medium	L2
98188	High	L1
98189	High	L2
98190	Low	L1
98191	Low	L1
98192	High	L5
98193	Medium	L5
98194	High	L1
98195	Low	L1
98196	Low	L2
98197	High	L2
98198	Medium	L1
98199	Medium	L1
98200	Medium	L5
98201	Low	L1
98202	Low	L2
98203	Low	L2
98204	Low	L2
98205	Low	L2
98206	Medium	L2
98207	High	L2
98208	Low	L5
98209	Low	L2
98210	Medium	L1
98211	Low	L2
98212	High	L5
98213	Medium	L2
98214	Medium	L2
98215	Low	L5
98216	High	L1
98217	Medium	L2
98218	Low	L2
98219	Low	L2
98220	Low	L2
98221	Medium	L1
98222	High	L1
98223	Low	L2
98224	Medium	L1
98225	Low	L5
98226	Medium	L1
98227	Medium	L5
98228	Low	L3
98229	Medium	L3
98230	Medium	L2
98231	Low	L2
98232	Low	L1
98233	Medium	L1
98234	Low	L1
98235	Low	L1
98236	High	L1
98237	High	L2
98238	High	L1
98239	Low	L1
98240	Low	L2
98241	Low	L5
98242	High	L1
98243	Low	L1
98244	Low	L1
98245	Medium	L1
98246	Low	L5
98247	High	L2
98248	Low	L3
98249	High	L1
98250	Low	L1
98251	Medium	L1
98252	Low	L1
98253	Medium	L2
98254	Low	L1
98255	Medium	L2
98256	Low	L2
98257	Low	L1
98258	Low	L5
98259	Low	L2
98260	High	L1
98261	Low	L1
98262	High	L2
98263	Low	L2
98264	High	L5
98265	Low	L1
98266	Medium	L1
98267	High	L5
98268	Medium	L2
98269	High	L2
98270	Medium	L1
98271	Low	L2
98272	High	L2
98273	High	L2
98274	Medium	L5
98275	High	L1
98276	High	L2
98277	High	L5
98280	Low	L1
98281	High	L3
98282	Medium	L2
98283	Medium	L5
98284	Low	L5
98285	Medium	L3
98286	Low	L2
98287	Low	L1
98288	Medium	L1
98289	Medium	L2
98290	Low	L2
98291	Low	L2
98292	Medium	L5
98293	Low	L2
98294	Medium	L2
98295	Medium	L5
98298	Medium	L2
98299	Medium	L5
98300	High	L1
98301	Low	L5
98302	Low	L2
98303	High	L2
98304	Low	L4
98305	Medium	L2
98306	High	L2
98307	Medium	L1
98308	Medium	L1
98309	Low	L1
98310	Medium	L1
98311	Low	L2
98312	High	L2
98313	Low	L1
98314	High	L2
98315	Low	L2
98316	Medium	L2
98317	Low	L5
98318	Medium	L2
98319	Medium	L1
98320	Low	L1
98321	Low	L3
98322	Low	L1
98323	Medium	L2
98324	Medium	L1
98325	Medium	L1
98326	Low	L1
98327	Low	L5
98328	Low	L2
98329	Medium	L2
98330	Low	L1
98331	High	L1
98332	Low	L3
98333	Low	L2
98334	Medium	L5
98335	Low	L2
98336	Medium	L2
98337	Medium	L2
98338	High	L5
98339	High	L2
98340	High	L5
98341	Medium	L5
98342	Medium	L1
98343	Low	L2
98344	High	L2
98345	Medium	L2
98346	Low	L1
98347	Medium	L1
98348	High	L2
98349	Low	L1
98350	Medium	L2
98351	Medium	L2
98352	Low	L1
98353	Low	L2
98354	Low	L1
98355	Low	L2
98356	Low	L5
98357	Low	L2
98358	Low	L2
98359	Low	L5
98360	High	L1
98361	Low	L2
98362	Medium	L1
98367	Medium	L2
98368	High	L1
98369	Medium	L5
98370	High	L2
98371	Low	L2
98372	Low	L1
98373	Medium	L1
98374	Low	L1
98375	Low	L1
98376	Medium	L2
98377	Medium	L2
98378	Medium	L2
98379	Low	L2
98382	High	L1
98385	High	L2
98386	Low	L5
98387	Low	L2
98388	Medium	L1
98389	Low	L1
98390	Low	L3
98391	High	L2
98392	Low	L2
98393	Low	L1
98394	Low	L1
98395	Low	L1
98396	High	L1
98397	High	L1
98398	Medium	L2
98399	High	L2
98400	Low	L1
98401	Medium	L1
98402	Low	L5
98403	Low	L2
98404	Medium	L2
98405	Low	L1
98406	Low	L1
98407	Medium	L1
98408	High	L1
98409	Low	L1
98410	High	L1
98411	High	L1
98412	High	L2
98413	High	L3
98414	High	L2
98415	Medium	L5
98416	Medium	L1
98417	High	L1
98418	Medium	L1
98419	Medium	L2
98420	Medium	L1
98421	Medium	L1
98422	Low	L1
98423	Low	L2
98424	Low	L2
98425	Low	L2
98426	Medium	L1
98427	Medium	L2
98428	Medium	L5
98429	Low	L1
98430	Low	L2
98431	Low	L2
98432	High	L5
98433	Low	L1
98434	Medium	L1
98435	Low	L3
98436	High	L2
98437	Low	L1
98438	Low	L3
98439	Low	L1
98440	Medium	L1
98441	Low	L5
98442	Medium	L1
98443	High	L1
98444	Medium	L2
98445	Medium	L2
98446	Low	L1
98447	High	L1
98448	Low	L1
98449	Low	L1
98450	Low	L1
98451	Medium	L1
98452	Low	L1
98453	High	L1
98454	Low	L1
98455	High	L1
98456	High	L2
98457	Low	L2
98458	Low	L1
98459	Low	L2
98460	Low	L2
98461	Low	L1
98462	High	L2
98463	Medium	L5
98464	Medium	L1
98465	Medium	L1
98466	High	L1
98467	High	L2
98468	High	L1
98469	Medium	L2
98470	Low	L2
98471	Low	L2
98472	Low	L2
98473	High	L1
98474	Medium	L1
98475	Medium	L1
98476	Low	L1
98477	Low	L1
98478	Low	L1
98479	High	L2
98480	Low	L2
98481	Low	L2
98482	Low	L5
98483	Low	L1
98484	Medium	L1
98485	Low	L5
98486	High	L5
98487	Low	L3
98488	Low	L1
98489	High	L2
98490	Low	L2
